Account,date,daily_pnl,avg_trade_size,total_volume,num_trades,total_fees,win_rate,long_short_ratio,long_pct,total_long,total_short,classification,value,leverage_proxy
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,159.0,477.0,3,0.0,0.0,3.0,100.0,3,0,Greed,59.0,145.61328530435313
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,23066.935,46133.87,2,11.072125999999999,0.0,2.0,100.0,2,0,Greed,69.0,22684.140135218197
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994,11034.799511025887,11509295.89,1043,2783.498528,59.42028985507246,2.765342960288809,73.44199424736337,766,277,Greed,69.0,2.4564954374765673
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997,7639.724411573472,23499792.29,3076,4561.206114,46.96441032798325,1.0375246872942725,50.92084006462036,1576,1519,Extreme Greed,84.0,0.26104092322905736
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0,1136.3127272727272,99995.52,88,253.10601,0.0,88.0,100.0,88,0,Extreme Greed,84.0,0.0028697514701104
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,3048.5944444444444,82312.05,27,3.90258,40.909090909090914,26.0,96.29629629629629,26,1,Extreme Greed,84.0,7.902179790663252
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471032000002,6219.798493150685,4540452.9,730,1589.158168,85.17110266159695,1.6258992805755397,61.917808219178085,452,278,Extreme Greed,84.0,1266.851532277078
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419,3677.8091055573827,11184217.49,3041,405.408361,95.86840091813313,1.261127596439169,55.77427821522309,1700,1348,Extreme Greed,84.0,0.03067495634493698
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506339,10190.317929717341,13339126.17,1309,4668.693244,87.32394366197182,2.5315068493150683,71.68347556245152,924,365,Neutral,50.0,308.3882727630118
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,767.24775,61379.82,80,37.383029,38.095238095238095,1.3461538461538463,57.377049180327866,35,26,Neutral,50.0,0.005959499691910741
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.448374,1759.9534939759035,438228.42,249,31.790452000000002,100.0,232.0,100.0,232,0,Neutral,50.0,0.03156680011404114
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816,2875.2178940961658,4723983.0,1643,2953.83210411,91.75531914893617,1.6547811993517019,62.33211233211233,1021,617,Neutral,50.0,0.030841680259998765
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,6070.2,30351.0,5,10.197932,0.0,0.0,0.0,0,5,Neutral,50.0,184.58310527276043
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157325,772.3728871391077,2942740.7,3810,903.689727,74.25149700598801,0.09959584295612009,9.057495405618273,345,3464,Neutral,50.0,0.02116791608884217
